Status do Arquivo: Final
RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2026-09-08;PETR4;PETR;PETR;CASH;EQUITY-CASH;SHARES;;;2026-08-24;9999-12-31;;;;;BRPETRACNPR6;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;230;1;2;;;;PN      N2;PETROLEO BRASILEIRO S.A. PETROBRAS;9999-12-31;FUNGIBLE;5446501379;NIVEL 2
2026-09-08;VALE3;VALE;VALE;CASH;EQUITY-CASH;SHARES;;;2026-08-12;9999-12-31;;;;;BRVALEACNOR0;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;223;1;2;;;;ON      NM;VALE S.A.;9999-12-31;FUNGIBLE;4439159752;NOVO MERCADO
2026-09-08;ITUB4;ITUB;ITUB;CASH;EQUITY-CASH;SHARES;;;2026-09-01;9999-12-31;;;;;BRITUBACNPR1;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;374;1;2;;;;PN  EJ  N1;ITAU UNIBANCO HOLDING S.A.;9999-12-31;FUNGIBLE;5409126215;NIVEL 1
2026-09-08;BBDC4;BBDC;BBDC;CASH;EQUITY-CASH;SHARES;;;2026-09-02;9999-12-31;;;;;BRBBDCACNPR8;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;807;1;2;;;;PN  EJ  N1;BCO BRADESCO S.A.;9999-12-31;FUNGIBLE;5590117604;NIVEL 1
2026-09-08;PETRA1;PETR4;PETR;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2028-01-21;;2026-05-26;2028-01-21;;;;;BRPETR4A1TF9;OCASPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;43,94;AMER;;true;;226;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;PETRM1;PETR4;PETR;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;2028-01-21;;2026-05-26;2028-01-21;;;;;BRPETR4M1T58;OPESPS;;;Put;;;100;BRL;FINANCIAL;;;;;;;;;;;43,94;EURO;;true;;226;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;PETRA198;PETR4;PETR;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-07-15;2027-01-15;;;;;BRPETR4A1U27;OCASPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;18,69;AMER;;true;;228;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;PETRA203;PETR4;PETR;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-07-15;2027-01-15;;;;;BRPETR4A1U19;OCASPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;19,19;AMER;;true;;228;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;PETRM196;PETR4;PETR;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-07-15;2027-01-15;;;;;BRPETR4M1UA4;OPESPS;;;Put;;;100;BRL;FINANCIAL;;;;;;;;;;;18,44;EURO;;true;;228;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;PETRM198;PETR4;PETR;EQUITY PUT;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-07-15;2027-01-15;;;;;BRPETR4M1UB2;OPESPS;;;Put;;;100;BRL;FINANCIAL;;;;;;;;;;;18,69;EURO;;true;;228;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;VALEA100;VALE3;VALE;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-05-06;2027-01-15;;;;;BRVALE3A16D8;OCASPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;98,39;AMER;;true;;220;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;VALEA101;VALE3;VALE;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-01-23;2027-01-15;;;;;BRVALE3A15R0;OCESPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;99,39;EURO;;true;;218;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;VALEA102;VALE3;VALE;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-01-23;2027-01-15;;;;;BRVALE3A15S8;OCASPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;100,39;AMER;;true;;218;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;VALEA104;VALE3;VALE;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-05-14;2027-01-15;;;;;BRVALE3A16F3;OCASPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;102,39;AMER;;true;;221;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;VALEA105;VALE3;VALE;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2027-01-15;;2026-05-28;2027-01-15;;;;;BRVALE3A17L9;OCESPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;103,39;EURO;;true;;221;1;1;SEM CORRECAO;true;false;;;;;;
2026-09-08;VALEA108;VALE3;VALE;EQUITY CALL;EQUITY-DERIVATE;OPTION ON EQUITIES;2028-01-21;;2026-01-07;2028-01-21;;;;;BRVALE3A15G3;OCESPS;;;Call;;;100;BRL;FINANCIAL;;;;;;;;;;;106,24;EURO;;true;;218;1;1;SEM CORRECAO;true;false;;;;;;
